time_index,filename,void_fraction,sheet_fraction,filament_fraction,node_fraction
32,0032.dat,0.571044921875,0.400043487548828,0.0287246704101562,0.000186920166015625
33,0033.dat,0.571014404296875,0.400184631347656,0.0286140441894531,0.000186920166015625
34,0034.dat,0.570877075195312,0.400215148925781,0.0287284851074219,0.000179290771484375
35,0035.dat,0.570880889892578,0.400215148925781,0.0287208557128906,0.00018310546875
36,0036.dat,0.570930480957031,0.400222778320312,0.0286636352539062,0.00018310546875
37,0037.dat,0.570903778076172,0.400257110595703,0.0286598205566406,0.000179290771484375
38,0038.dat,0.570987701416016,0.400184631347656,0.0286483764648438,0.000179290771484375
39,0039.dat,0.570877075195312,0.400470733642578,0.0284805297851562,0.000171661376953125
40,0040.dat,0.570858001708984,0.400543212890625,0.0284309387207031,0.0001678466796875
41,0041.dat,0.570816040039062,0.400611877441406,0.0284004211425781,0.000171661376953125
42,0042.dat,0.570774078369141,0.400760650634766,0.0282821655273438,0.00018310546875
43,0043.dat,0.570930480957031,0.400642395019531,0.0282516479492188,0.00017547607421875
44,0044.dat,0.571002960205078,0.400596618652344,0.0282096862792969,0.00019073486328125
45,0045.dat,0.570972442626953,0.400608062744141,0.0282325744628906,0.000186920166015625
46,0046.dat,0.571159362792969,0.400444030761719,0.0282020568847656,0.000194549560546875
47,0047.dat,0.571220397949219,0.400386810302734,0.0281944274902344,0.0001983642578125
48,0048.dat,0.571239471435547,0.400390625,0.0281791687011719,0.00019073486328125
49,0049.dat,0.571300506591797,0.400238037109375,0.0282707214355469,0.00019073486328125
50,0050.dat,0.571208953857422,0.4002685546875,0.0283317565917969,0.00019073486328125
51,0051.dat,0.571247100830078,0.400230407714844,0.0283317565917969,0.00019073486328125
52,0052.dat,0.5712890625,0.400180816650391,0.0283470153808594,0.00018310546875
53,0053.dat,0.571346282958984,0.400081634521484,0.0283851623535156,0.000186920166015625
54,0054.dat,0.571407318115234,0.4000244140625,0.0283889770507812,0.000179290771484375
55,0055.dat,0.571479797363281,0.400032043457031,0.0283126831054688,0.00017547607421875
56,0056.dat,0.571662902832031,0.399707794189453,0.0284576416015625,0.000171661376953125
57,0057.dat,0.571681976318359,0.3997802734375,0.0283737182617188,0.000164031982421875
58,0058.dat,0.571628570556641,0.399890899658203,0.0283126831054688,0.0001678466796875
59,0059.dat,0.571796417236328,0.399604797363281,0.0284271240234375,0.000171661376953125
60,0060.dat,0.5718994140625,0.3995361328125,0.0283927917480469,0.000171661376953125
61,0061.dat,0.572101593017578,0.399368286132812,0.028350830078125,0.000179290771484375
62,0062.dat,0.572238922119141,0.3992919921875,0.0282783508300781,0.00019073486328125
63,0063.dat,0.572307586669922,0.399223327636719,0.0282707214355469,0.0001983642578125
64,0064.dat,0.572414398193359,0.399154663085938,0.028228759765625,0.000202178955078125
65,0065.dat,0.572395324707031,0.399112701416016,0.0282936096191406,0.0001983642578125
66,0066.dat,0.572452545166016,0.399074554443359,0.0282669067382812,0.00020599365234375
67,0067.dat,0.572513580322266,0.399044036865234,0.0282363891601562,0.00020599365234375
68,0068.dat,0.572528839111328,0.398994445800781,0.0282669067382812,0.000209808349609375
69,0069.dat,0.572643280029297,0.398918151855469,0.028228759765625,0.000209808349609375
70,0070.dat,0.572906494140625,0.398612976074219,0.0282821655273438,0.0001983642578125
71,0071.dat,0.572982788085938,0.398506164550781,0.0283126831054688,0.0001983642578125
72,0072.dat,0.573116302490234,0.398445129394531,0.0282402038574219,0.0001983642578125
73,0073.dat,0.573150634765625,0.398345947265625,0.0283012390136719,0.000202178955078125
74,0074.dat,0.57330322265625,0.398109436035156,0.02838134765625,0.00020599365234375
75,0075.dat,0.573238372802734,0.398284912109375,0.0282745361328125,0.000202178955078125
